iter	Passed	Remaining
0	2	1466
1	6	1644
2	10	1816
3	13	1641
4	15	1534
5	18	1483
6	20	1470
7	23	1475
8	27	1503
9	29	1444
10	31	1412
11	33	1369
12	36	1349
13	38	1342
14	40	1320
15	42	1295
16	46	1321
17	48	1310
18	51	1296
19	53	1282
20	56	1280
21	59	1295
22	61	1277
23	63	1264
24	66	1255
25	68	1246
26	71	1249
27	74	1254
28	76	1249
29	79	1240
30	81	1231
31	83	1224
32	86	1222
33	88	1217
34	91	1209
35	93	1203
36	95	1194
37	97	1190
38	100	1191
39	104	1201
40	107	1198
41	109	1189
42	111	1183
43	113	1181
44	116	1175
45	119	1175
46	122	1183
47	125	1177
48	127	1172
49	129	1163
50	131	1161
51	134	1155
52	137	1155
53	139	1152
54	162	1311
55	170	1355
56	186	1447
57	191	1460
58	196	1470
59	200	1471
60	204	1472
61	207	1463
62	220	1527
63	224	1527
64	226	1517
65	229	1510
66	232	1501
67	235	1497
68	238	1487
69	240	1480
70	243	1470
71	245	1461
72	248	1454
73	251	1445
74	254	1441
75	257	1436
76	260	1428
77	262	1420
78	265	1416
79	268	1409
80	270	1398
81	272	1388
82	274	1379
83	277	1374
84	280	1369
85	284	1367
86	286	1361
87	288	1351
88	290	1343
89	293	1337
90	297	1338
91	300	1331
92	302	1323
93	305	1319
94	308	1313
95	311	1308
96	315	1308
97	318	1305
98	320	1298
99	323	1292
100	326	1289
101	329	1286
102	332	1281
103	335	1276
104	337	1270
105	341	1268
106	344	1265
107	347	1261
108	351	1262
109	354	1257
110	356	1248
111	359	1245
112	363	1245
113	366	1241
114	369	1238
115	372	1234
116	376	1231
117	395	1280
118	398	1275
119	402	1273
120	405	1269
121	408	1266
122	412	1265
123	415	1259
124	418	1254
125	420	1249
126	423	1244
127	426	1238
128	428	1233
129	431	1229
130	434	1223
131	437	1218
132	441	1217
133	445	1217
134	448	1212
135	451	1207
136	454	1204
137	458	1201
138	460	1196
139	464	1194
140	467	1189
141	470	1186
142	474	1183
143	477	1179
144	480	1176
145	482	1170
146	485	1166
147	488	1161
148	491	1157
149	494	1154
150	498	1152
151	502	1150
152	507	1151
153	510	1146
154	513	1143
155	516	1139
156	520	1136
157	522	1131
158	526	1129
159	529	1124
160	532	1121
161	536	1118
162	540	1117
163	543	1114
164	547	1112
165	551	1110
166	554	1105
167	557	1101
168	560	1098
169	563	1093
170	565	1088
171	568	1084
172	570	1079
173	573	1074
174	576	1070
175	578	1065
176	581	1060
177	584	1057
178	591	1060
179	594	1056
180	597	1053
181	600	1049
182	605	1048
183	608	1045
184	611	1040
185	614	1037
186	617	1034
187	621	1031
188	624	1026
189	626	1022
190	628	1017
191	631	1013
192	635	1010
193	638	1007
194	641	1003
195	644	999
196	647	996
197	650	992
198	655	991
199	659	988
200	662	985
201	666	982
202	669	979
203	672	975
204	675	971
205	677	967
206	681	964
207	685	961
208	687	957
209	690	953
210	693	949
211	697	947
212	701	944
213	703	940
214	706	936
215	708	931
216	712	928
217	715	925
218	718	922
219	721	917
220	723	913
221	725	908
222	729	906
223	733	903
224	736	899
225	739	896
226	742	892
227	745	889
228	748	886
229	753	884
230	756	880
231	759	877
232	763	874
233	766	871
234	769	867
235	772	864
236	776	861
237	781	860
238	784	856
239	787	852
240	790	849
241	793	846
242	796	842
243	800	839
244	802	835
245	806	832
246	809	829
247	813	826
248	816	822
249	818	818
250	821	814
251	824	811
252	828	808
253	832	805
254	834	802
255	837	798
256	841	795
257	844	791
258	847	789
259	851	785
260	853	781
261	857	778
262	866	781
263	869	777
264	873	774
265	876	770
266	880	768
267	883	764
268	887	761
269	891	759
270	893	755
271	896	751
272	899	747
273	902	744
274	907	742
275	911	740
276	915	737
277	918	733
278	922	730
279	925	727
280	928	723
281	931	720
282	934	716
283	938	713
284	942	711
285	946	708
286	948	704
287	952	701
288	957	698
289	960	695
290	964	692
291	968	689
292	971	686
293	991	694
294	994	691
295	997	687
296	999	683
297	1003	680
298	1007	676
299	1010	673
300	1013	670
301	1017	666
302	1021	664
303	1024	660
304	1027	656
305	1030	653
306	1033	649
307	1037	646
308	1040	642
309	1043	639
310	1046	636
311	1049	632
312	1053	629
313	1056	626
314	1059	622
315	1063	619
316	1066	615
317	1071	613
318	1074	609
319	1077	606
320	1081	603
321	1084	599
322	1089	596
323	1091	593
324	1095	589
325	1099	586
326	1102	583
327	1106	580
328	1109	576
329	1113	573
330	1116	570
331	1121	567
332	1124	563
333	1129	561
334	1132	557
335	1136	554
336	1138	550
337	1141	547
338	1145	543
339	1148	540
340	1152	537
341	1155	533
342	1160	531
343	1164	528
344	1167	524
345	1170	520
346	1173	517
347	1176	513
348	1180	510
349	1193	511
350	1197	508
351	1201	505
352	1204	501
353	1207	498
354	1210	494
355	1214	491
356	1217	487
357	1220	483
358	1223	480
359	1227	477
360	1230	473
361	1233	470
362	1236	466
363	1239	462
364	1241	459
365	1244	455
366	1248	452
367	1251	449
368	1254	445
369	1257	441
370	1260	438
371	1263	434
372	1266	431
373	1269	427
374	1273	424
375	1276	421
376	1280	417
377	1310	422
378	1313	419
379	1316	415
380	1321	412
381	1323	408
382	1326	405
383	1329	401
384	1332	397
385	1335	394
386	1339	391
387	1343	387
388	1346	384
389	1349	380
390	1353	377
391	1356	373
392	1359	370
393	1363	366
394	1365	363
395	1369	359
396	1372	356
397	1375	352
398	1379	349
399	1382	345
400	1386	342
401	1389	338
402	1393	335
403	1396	331
404	1398	328
405	1402	324
406	1405	321
407	1408	317
408	1410	313
409	1413	310
410	1416	306
411	1419	303
412	1422	299
413	1425	296
414	1428	292
415	1430	288
416	1434	285
417	1437	281
418	1440	278
419	1442	274
420	1445	271
421	1449	267
422	1451	264
423	1454	260
424	1457	257
425	1459	253
426	1462	249
427	1466	246
428	1469	243
429	1473	239
430	1476	236
431	1480	233
432	1483	229
433	1486	226
434	1488	222
435	1490	218
436	1493	215
437	1498	212
438	1500	208
439	1504	205
440	1506	201
441	1509	198
442	1513	194
443	1517	191
444	1519	187
445	1523	184
446	1525	180
447	1528	177
448	1531	173
449	1534	170
450	1536	166
451	1539	163
452	1542	160
453	1546	156
454	1549	153
455	1553	149
456	1556	146
457	1559	143
458	1562	139
459	1565	136
460	1568	132
461	1571	129
462	1574	125
463	1578	122
464	1582	119
465	1584	115
466	1587	112
467	1591	108
468	1595	105
469	1598	102
470	1601	98
471	1604	95
472	1606	91
473	1611	88
474	1614	84
475	1616	81
476	1620	78
477	1622	74
478	1625	71
479	1629	67
480	1634	64
481	1638	61
482	1641	57
483	1647	54
484	1649	51
485	1652	47
486	1655	44
487	1659	40
488	1662	37
489	1665	33
490	1668	30
491	1670	27
492	1672	23
493	1676	20
494	1679	16
495	1682	13
496	1685	10
497	1687	6
498	1692	3
499	1696	0
